State,Incident,Latitude,Longitude,,,,,,,
Alaska,7,66.160507,-153.369141,,,,,,,
Arizona,143,34.048927,-111.093735,,,,,,,
Arkansas,8,34.799999,-92.199997,,,,,,,
California,524,36.778259,-119.417931,,,,,,,
Colorado,117,39.113014,-105.358887,,,,,,,
Connecticut,48,41.599998,-72.699997,,,,,,,
Delaware,10,39.000000,-75.500000,,,,,,,
Florida,48,27.994402,-81.760254,,,,,,,
Georgia,76,33.247875,-83.441162,,,,,,,
Hawaii,30,19.741755,-155.844437,,,,,,,
Idaho,18,44.068203,-114.742043,,,,,,,
Illinois,34,40.000000,-89.000000,,,,,,,
Indiana,47,40.273502,-86.126976,,,,,,,
Iowa,6,42.032974,-93.581543,,,,,,,
Kansas,36,38.500000,-98.000000,,,,,,,
Kentucky,114,37.839333,-84.270020,,,,,,,
Louisiana,9,30.391830,-92.329102,,,,,,,
Maine,10,45.367584,-68.972168,,,,,,,
Maryland,7,39.045753,-76.641273,,,,,,,
Massachusetts,213,42.407211,-71.382439,,,,,,,
Michigan,313,44.182205,-84.506836,,,,,,,
Minnesota,59,46.392410,-94.636230,,,,,,,
Mississippi,6,33.000000,-90.000000,,,,,,,
Missouri,52,38.573936,-92.60376,,,,,,,
Montana,16,46.965260,-109.533691,,,,,,,
Nebraska,38,41.500000,-100.000000,,,,,,,
Nevada,27,39.876019,-117.224121,,,,,,,
New Hampshire,8,44.000000,-71.500000,,,,,,,
New Mexico,30,34.307144,-106.018066,,,,,,,
New York,164,43.000000,-75.000000,,,,,,,
North Carolina,132,35.782169,-80.793457,,,,,,,
North Dakota,14,47.650589,-100.437012,,,,,,,
Ohio,216,40.367474,-82.996216,,,,,,,
Oklahoma,14,36.084621,-96.921387,,,,,,,
Oregon,116,44.000000,-120.500000,,,,,,,
Pennsylvania,28,41.203323,-77.194527,,,,,,,
Rhode Island,4,41.742325,-71.742332,,,,,,,
South Carolina,36,33.836082,-81.163727,,,,,,,
South Dakota,13,44.500000,-100.000000,,,,,,,
Tennessee,91,35.860119,-86.660156,,,,,,,
Texas,300,31.000000,-100.000000,,,,,,,
Utah,12,39.41922,-111.950684,,,,,,,
Vermont,18,44.000000,-72.699997,,,,,,,
Virginia,102,37.926868,-78.024902,,,,,,,
Washington,331,47.751076,-120.740135,,,,,,,
West Virginia,18,39.000000,-80.500000,,,,,,,
Wisconsin,39,44.500000,-89.500000,,,,,,,
Wyoming,4,43.075970,-107.290283,,,,,,,
,,,,,,,,,,
